step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.12357,0.76,,
2,2.19028,0.5,,
3,3.83609,0.36364,,
4,1.5223,0.6,,
5,0.78197,0.85,,
6,1.19916,0.65,,
7,1.46791,0.625,,
8,0.67627,0.875,,
9,2.96849,0.26316,,
10,0.78362,0.83333,,
11,1.13201,0.73333,,
12,2.30473,0.5625,,
13,1.9386,0.56522,,
14,1.10637,0.70588,,
15,1.74617,0.5,,
16,0.82196,0.73913,,
17,0.99556,0.72222,,
18,0.39859,0.8125,,
19,0.42852,0.9,,
20,2.27074,0.54545,,
21,0.34468,1.0,,
22,0.53271,0.83333,,
23,0.7892,0.6875,,
24,0.84484,0.7,,
25,2.11639,0.36842,,
26,1.14773,0.66667,,
27,1.58276,0.5,,
28,0.8528,0.85,,
29,1.09689,0.8,,
30,0.97539,0.7,,
31,0.79531,0.9,,
32,0.11259,1.0,,
33,1.32,0.57895,,
34,0.52907,0.9375,,
35,0.18215,0.95652,,
36,0.57522,0.93333,,
37,0.35654,0.875,,
38,1.61185,0.65,,
39,1.05232,0.63636,,
40,0.38912,0.85,,
41,0.34505,0.83333,,
42,0.18492,0.9375,,
43,0.43666,0.95,,
44,0.21776,0.96,,
45,0.18355,0.94444,,
46,0.49994,0.9,,
47,0.2912,0.93333,,
48,0.05035,1.0,,
49,0.20304,1.0,,
50,0.25309,0.94118,,
51,0.09995,1.0,,
52,1.59902,0.69565,,
53,0.91871,0.78947,,
54,3.64442,0.35,,
55,0.16714,0.9375,,
56,0.08693,0.95,,
57,0.00654,1.0,,
58,0.0239,1.0,,
59,0.31766,0.9375,,
60,0.02847,1.0,,
61,0.0733,1.0,,
62,0.22636,0.9375,,
63,0.09712,0.95,,
64,0.19534,1.0,,
65,0.00958,1.0,,
66,0.07668,1.0,,
67,0.71056,0.81818,,
68,0.24373,0.95,,
69,0.00784,1.0,,
70,0.0146,1.0,,
71,0.09448,0.95,,
72,0.01139,1.0,,
73,0.00964,1.0,,
74,0.18605,0.86667,,
75,0.00968,1.0,,
76,0.00168,1.0,,
77,0.01961,1.0,,
78,0.02646,1.0,,
79,0.01419,1.0,,
80,0.01483,1.0,,
81,0.02163,1.0,,
82,0.00358,1.0,,
83,0.12376,0.9,,
84,0.01122,1.0,,
85,0.01354,1.0,,
86,0.14577,0.9375,,
87,0.00252,1.0,,
88,0.02445,1.0,,
89,0.1827,0.94737,,
90,0.01815,1.0,,
